Acceleration,Velocity,Orientation,Obstacle,GPS
"[-0.0057706237, 0.02780974, 0.05158615]","[68.92548, -10.956669, -1.0225954]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.0141518265, -0.028314233, -0.049918175]","[68.949, -11.049522, -1.085364]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.045708746, -0.013333321, -0.031209946]","[68.94247, -11.023191, -1.0404645]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.027215585, -0.024800897, -0.039190292]","[68.9303, -10.974128, -0.95603216]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-0.016903862, -0.025173545, -0.040423393]","[68.91614, -10.9183445, -0.91705865]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.014091708, -0.017232776, 0.054519653]","[68.88666, -10.800985, -0.7914563]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-0.0017960295, 0.040332913, 0.0075511932]","[68.8747, -10.753302, -0.738912]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.0013230592, 0.029712796, 0.01538372]","[68.8684, -10.728318, -0.7146343]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,,"[3.0400805537941374e-06, 1.5532972587410973e-06]"
,,,"[True, True, False]",
"[-0.032557413, 0.002770543, -0.0026845932]","[68.8659, -10.718154, -0.69522107]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.012983777, 0.005054474, 0.021608353]","[68.86298, -10.706459, -0.68497163]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.047920182, 0.0064439774, 0.10194874]","[68.8554, -10.676829, -0.6755]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.04568191, 0.012622595, -0.12476063]","[68.86108, -10.697295, -0.59411716]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.057862278, 0.0063995123, -0.017150879]","[68.8714, -10.737215, -0.5816996]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-0.038015872, 0.021694183, -0.026795387]","[68.8635, -10.706096, -0.5652846]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,,"[3.0400805538526407e-06, 1.5532972587587488e-06]"
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,,"[3.0400805539112334e-06, 1.5532972587763612e-06]"
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,,"[3.0400805539699294e-06, 1.5532972587939507e-06]"
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,,"[3.040080554028721e-06, 1.5532972588115237e-06]"
